nama,rating,tanggal,ulasan,nama_hotel,kota
nadia,"10,0",09 Aug 2022,"We stayed in pool access room.view  just awesome. Food waa so yummy .Love this hotel. Definitely come back and also recommend other people, friends. Staff was very friendly. 😙😙😙😙😙",eden kuta hotel bali,Bali
Catherine,"9,7",26 Jul 2022,,eden kuta hotel bali,Bali
Adele,"9,7",20 Jul 2022,I've been at the eden hotel for 10 days I had an amazing time..the staff is really nice and friendly.,eden kuta hotel bali,Bali
suyati,"7,7",23 Jun 2022,"We have a great stay at EDEN Hotel, the staff was friendly and the service is good, the room is clean and nice. We managed to get bigger room with no difficulty and affordable rate. 
It closed to beach and shopping centre.
We enjoy our stay there especially our 2 kids.",eden kuta hotel bali,Bali
Hooi,"8,7",15 May 2022,Very Good,eden kuta hotel bali,Bali
Jessen,"9,0",03 May 2022,"Nice experience. Hotel is new, comfy and clean and tidy as well.",eden kuta hotel bali,Bali
Huarong,"9,0",18 Jan 2023,,eden kuta hotel bali,Bali
Ratna,"9,3",27 Dec 2022,For all my review is very good. Only the bathroom smell very bad. Can you fix it?,eden kuta hotel bali,Bali
david,"6,7",21 Sep 2022,Attentive staff,eden kuta hotel bali,Bali
agustian,"8,0",09 Aug 2022,"It's more than what we've expected, the room is cozy and comfortable, nice pool and breakfast is good and lots of selection.",eden kuta hotel bali,Bali
CHEO,"7,7",26 Jul 2022,We enjoyedour breakfast. Staff are friendly and efficient.,eden kuta hotel bali,Bali
paul,"6,0",20 Jul 2022,"Hotel pictures don't show pool is in shaded courtyard and has a pump that sucks and gurgles constantly !
Food looks good. standard  room is fine but nowhere near 4*.
Biggest problem is many rooms face road and its incredibly noisy -shades don't keep out the light/noise well.
I was only there for 1 night but that was enough...
Staff friendly.",eden kuta hotel bali,Bali
NURUL,"8,7",23 Jun 2022,"A happy stay, location is great if you wish to visit waterbom and shop at discovery mall (walking distance). There are small shops selling souvenirs along the streets nearby.",eden kuta hotel bali,Bali
KIU,"7,7",15 May 2022,Breakfast was considered good I think. Location was near shopping mall. Nice hotel room and clean.,eden kuta hotel bali,Bali
Roy,"7,7",03 May 2022,Generally ok  except the swimming pool bar staff and pool attendants,eden kuta hotel bali,Bali
Chiquita,"10,0",29 Jan 2023,Fasilitasnya bagusss.. Kamarnya nyaman nanget buat istirahat.. Bisa bener2 pules tidur nya krn kasurnya juga nyaman bgt.. Makanan enakk.. Staff nya ramah2 bgt.. Interior juga baguss.. Recomended !!,infinity8 bali,Bali
Faldi,"10,0",28 Dec 2022,Awalnya hanya ingin 1 hari menginap di hotel ini. Karena staf dan hotelnya nyaman banget jadi buat betah akhir nya aku extand dan ajak anak aku. Pertahankan pelayanannya staff bagus kerja baik ramah dan sopan. Dan yang paling top nya area pool dan MAKANANNYA juara banget. Pasti aku akan refrensikan ke teman dan partner bisnis aku. Terimakasih,infinity8 bali,Bali
Nani,"10,0",03 Nov 2022,Alhamdulillah dapat hotel di tempat strategis dg fasilitas bagus dan menu sarapan yg enak,infinity8 bali,Bali
STEFANDI,"10,0",Profil ini privat.,Sudah kesekian kalinya balik lagi kesini... karena harga tersangka dan kamar sangat cozy dna bersih..,infinity8 bali,Bali
erlisa,"10,0",22 Aug 2022,"gila ini hotel keren bgt sih, kalo kebali wajib bgt nginap disini, pelayanan, kebersihan dan kenyamanan semua perfect",infinity8 bali,Bali
Putri,"10,0",21 Aug 2022,"hotelnya bersih, kamarnya banyak, fasilitas lengkap",infinity8 bali,Bali
Citra,"9,6",11 Aug 2022,Nginep disini karena suami stay di jimbaran..tapi buat yg suka kulineran hotel nya dijalan jalur cepat jadi gak ada kuliner..palingam circle K..harus naik kendaraan utk cari makanan..tapi hotel bagus bgt bintang 4 😍,infinity8 bali,Bali
Nur,"10,0",04 Aug 2022,"Bagus, Staff sangat ramah dan perlu dibudayakan, dan pastinya klo ke bali lagi wajib menginap disitu lagi.. terima kasih infinity8.. dan semoga di rooftoop bisa difungsikan kmbali meja kursinya..",infinity8 bali,Bali
STEFANDI,"10,0",31 Jul 2022,Hotel tengah kota yg cozy kamarnya dan bersih ...,infinity8 bali,Bali
Chiquita,"10,0",12 Jul 2022,Fasilitasnya bagusss.. Kamarnya nyaman nanget buat istirahat.. Bisa bener2 pules tidur nya krn kasurnya juga nyaman bgt.. Makanan enakk.. Staff nya ramah2 bgt.. Interior juga baguss.. Recomended !!,infinity8 bali,Bali
Bimo,"10,0",06 Jun 2022,"Hotel ini bagus banget.. Staf ramah dan bersih
Cepat tanggap juga",infinity8 bali,Bali
Lukman,"10,0",14 Feb 2022,"Next pasti nginep sini lagi..
Rekomendasi hotel terjangkau dgn fasilitas oke... untuk wisatawan tujuan bali selatan ini okelah..",infinity8 bali,Bali
Heidy,"10,0",14 Feb 2022,Semuanya ok kecuali restaurant tempat breakfast… seatnya terbatas sekali sampai waiting list… seharusnya di terasnya jg dipasang meja&kursi jg,infinity8 bali,Bali
Ni,"10,0",25 Jan 2022,"Ruangan dan kolam bersih, fasilitas berfungsi, nyaman berenang dg anak karena ada pool khusus anak, semua staff sangat ramah.",infinity8 bali,Bali
kristina,"9,6",02 Dec 2021,"Staff ramah dan jelas bgt dalam menjalankan fasilitas dan apa yg saya dapat. Kamar bersih banget dan free upgrade kamar ke duluan, sandal hotel nya bagus kamar ada guling nya. Amenities lengkap dan diksh kmr connecting karena pesan 2 room. Breakfast nya lengkap banyak pilihan. Pool nya keren banget, kalau ke Bali lagi bakal nginep di sini lagi",infinity8 bali,Bali
Retno,"10,0",11 Feb 2020,"nyaman, luas, bersih, rapi",infinity8 bali,Bali
Defira,"10,0",29 Dec 2019,"staff ramah, fasilitas lengkap, cuma gak sesuai sampai sana ternyata gak dpt breakfast",infinity8 bali,Bali
Rachmita,"10,0",15 Oct 2019,Sangat di rekomendasikan untuk hotel ini karna kebersihan yang luar biasa juga para stafnya sangat ramah 👍,infinity8 bali,Bali
Rhoni,"9,6",02 Oct 2019,"Tempat nyaman dan bersih 
Staff ramah 
Dapat welcome drink",infinity8 bali,Bali
Saipul,"9,6",15 Mar 2019,"Alhamdulillah.. bagus , bersih, enak & nyaman Terimakasih 🙏",infinity8 bali,Bali
Irfan,"10,0",06 Jun 2022,Disini terbaik di bali,infinity8 bali,Bali
Annisa,"10,0",14 Feb 2022,"Pelayanan sangat baik,kamar oke ,fasilitas juga bagus smua ,akses mudah 👍",infinity8 bali,Bali
Prathama,"10,0",14 Feb 2022,Kebersihan bagus sangat recom untuk keluarga dan bisnis,infinity8 bali,Bali
Fitroh,"9,2",25 Jan 2022,"Fasilitas sangat baik, sarapannya banyak pilihan dan enak-enak, lokasi sangat strategis. hanya kasurnya sedikit keras😅",infinity8 bali,Bali
khusnul,"9,2",02 Dec 2021,"hanya berjalan kaki 5 menit dr pelabuhan, interior jg bagus, untuk harga yg lumayan pricey sayangnya kamar tidak kedap suara, kamar saya waktu itu dilantai bawah. kamar sebelah tertawa dan berbicara cukup berisik",infinity8 bali,Bali
Fiko,"9,6",11 Feb 2020,Berkesan bangets karena staff nya ramah dan sangat helpfull. View rooftop nya keren. Dengan 2 pool yang terlihat mewah dan bersih. Makanannya enak juga. Lobby nya luas 🥰🥰,infinity8 bali,Bali
Vidia,"9,6",29 Dec 2019,"Hotel yg bersih, stafnya ramah, happy selama 3hr stay di infinity8",infinity8 bali,Bali
Suciatiningsih,"10,0",15 Oct 2019,Makanan enak,infinity8 bali,Bali
Tyas,"10,0",02 Oct 2019,Keren banget. Bersih. Nyaman....,infinity8 bali,Bali
christy,"10,0",15 Mar 2019,"Lokasi strategis, makanan enak. Hanya AC kurang dingin",infinity8 bali,Bali
Agustine,"10,0",15 Mar 2019,Hotel ok lah,infinity8 bali,Bali
dewa,"9,6",30 Aug 2018,"Dapat kupon gratis beer/juice tapi pas dicari katanya habis semua. Overall bagus dari kamar dll, cuma kurang dibagian itu aja",infinity8 bali,Bali
Fetri,"10,0",04 Aug 2018,Hotelnya nyaman,infinity8 bali,Bali
shanty,"10,0",17 Jul 2018,"recomended
pilihan menu breakfast byk+enak",infinity8 bali,Bali
ferry,"9,6",10 Jul 2018,"recomended, kamar besih, lokasi strategis.",infinity8 bali,Bali
Haikal,"9,6",25 Jun 2018,"Good hotel.. kolam renang seru, makanan kurang variatif tapi enak enak makanannya,",infinity8 bali,Bali
Christi,"9,6",21 Jun 2018,"Resepsionis nya kurang profesional,gak ramah dan kurang senyum,kalau yg lainnya ok",infinity8 bali,Bali
titiek,"9,2",18 Jun 2018,Posisi hotel di dekat jimbaran kalau mau ke pantai nusa dua juga dekat ke uluwatu makan waktu 30 menit .. hotelnya bersih dan breakfastnya enak .. staffnya ramah namun pada saat check in agak lama nunggunya ..,infinity8 bali,Bali
Roy,"10,0",25 May 2018,"Bersih ,fasilitas ok ,makanan ok",infinity8 bali,Bali
Irwan,"10,0",07 May 2018,Hotel standard tapi baik,infinity8 bali,Bali
Cicilia,"9,2",15 Mar 2019,"Punya beachclub,
Mantep... hotel yg ramah dengan matahari",infinity8 bali,Bali
egy,"9,2",30 Aug 2018,"Minus : Lokasi dipinggir jalan jadi ada berisik ke kamar, lorong kamar redup kurang cahaya
Plus : bantal double plus guling! Variasi breakfast ok, pool airnya adem, rooftop waktu malam cantik",infinity8 bali,Bali
SILVIA,"10,0",04 Aug 2018,kamar bersih,infinity8 bali,Bali
ISMAIL,"10,0",17 Jul 2018,Kamar mandi tidak ada kuncinya transparant.,infinity8 bali,Bali
Septian,"10,0",10 Jul 2018,Recoment banget👍,infinity8 bali,Bali
Valerie,"9,2",25 Jun 2018,Secara keseluruhan hotel bagus. Rooftopnya cantik. Lokasi ada di jl besar tapi di sekitar hotel tempat makan kurang banyak,infinity8 bali,Bali
Baron,"8,4",21 Jun 2018,"infinity8 sangat berkesan untuk saya. Desain Hotel yg Elegan, Menu Breakfast yang luar biasa enaknya, ditambah Swimming Pool yg Keren abis. Terima Kasih untuk seluruh pelayanan tim infinity8",infinity8 bali,Bali
rima,"8,8",18 Jun 2018,Menginap di tempat ini menurut saya strategis untuk kemana2. Tinggal sewa motor saja dr hotel dan bisa melancong deh. Bersih dan nyaman,infinity8 bali,Bali
Anton,"8,8",25 May 2018,"Makanan kurang terasa pedas dan asinnya. Sedangkan
Untuk kebersihan dan Fasilitas  Sangat Bagus",infinity8 bali,Bali
Anita,"8,8",07 May 2018,"Kami menginap 3malam 4 hari dan pihak hotel memberikan gratis makan malam untuk kami berdua berikut 2 botol bir bintang kesukaan suamiku.  Terima kasih Infinity8 Hotel Jimbaran, sukses selalu.",infinity8 bali,Bali
Endang,"10,0",06 May 2018,"Staff ramah , kamar bersih",infinity8 bali,Bali
DEDDY,"8,0",26 Apr 2018,"Kami menginap untuk 5 malam… kamar besih, the bed’s clean, AC and water heater works. The breakfast Acceptable. Untuk parkir basement agak sempit. Overall this is a nice Hotel. Cuma 1 yang mengganjal, kami check in 3 kamar jam 2 siang.. lgs mendapat 2 kamar yg satu menyusul.. tapi kamar baru diberikan pukul 6 sore sesudah berkali2 complain ke reception. Lumayan mengganggu krn kita dr perjalanan jauh jd ngak bs istirahat😅 tolong ditingkatkan lagi ya…",infinity8 bali,Bali
Juniati,"8,8",22 Apr 2018,"Sarapannya enak, banyak pilihan.., hanya saja sedikit asin😁",infinity8 bali,Bali
Joice,"8,8",08 Apr 2018,"Staff sangat ramah, kebersihan baik dan lokasi strategis",infinity8 bali,Bali
Frisca,"8,0",28 Mar 2018,"Pengalaman menginap disini 2malam, yg saya alami.. kamar banyak semut, air panas so so, hangat aja masih bolehlah.. yg ga tahan semut nya, di kepala tempat tidur, meja, dimana2.. lokasi sih oke.. di pinggir jalan raya.  Breakfastnya kurang.. rasa nya kurang, varian juga kurang.",infinity8 bali,Bali
M.Erick,"8,4",14 Mar 2018,"Cocok untuk honey moon dgn budget yg memadai bisa mendapatkan fasilitas dan keramahtamahan yg mantap. 
Good",infinity8 bali,Bali
Sauvita,"8,8",13 Mar 2018,"Coba tempatnya di kuta, pasti mantap",infinity8 bali,Bali
Meilani,"8,0",14 Jan 2018,Kami menginap 1 malam dgn 2 kamar superior. Dapat welcome drink & 2 beer per kamar. Kebersihan kamar & kamar mandi 8/10. Kamarnya kecil dan kami gak dpt view. AC kamar dan water Heater berfungsi. Yg perlu ditingkatkan adalah lantai kolam renang sebaiknya diganti. Ada bbrp bagian yg rusak dan dikhawatirkan melukai kaki tamu.,infinity8 bali,Bali
titiek,"8,0",28 Dec 2017,Menginap di infinity menyenangkan .. ke wisata pantai bali selatan dekat semua .. harga sesuai fasilitas yg diberikan .. namun kali kedua saya mengunap ini breakfastnya tidak all you can eat .. makannya pilihan 1 menu ..,infinity8 bali,Bali
Alvina,"7,6",09 Nov 2017,"Kamarnya bagus.. sukakkk.. gampang jg bisa sewa motor langsung.. minusnya ac kamar ga dingin, mau tukar kamar udah malas.. tengah malam sempet keringatan.. trus kasur agak bau, entah kasur atau sprei nya atau bedcovernya.. 
Tp bakal nginep disini lagi sih.. harga terjangkau, dan kamar nya bagus.. air panas lancar juga",infinity8 bali,Bali
Meiryana,"7,6",06 May 2018,"Untuk liburan dengan anak kecil kurang nyaman karena kamarnya kecil,menurut saya kebersihan kamar kurang...hrg masih OK lah...",infinity8 bali,Bali
Ervina,"7,6",26 Apr 2018,"Parkiranya sempit bgt,klo mau drop org or barang d lobby jg ssh krn kdng ada mbil nunggu d blkngny jd hrs cpt, tempatnya bersih,staf bgian resepsionis krng memberika informasi. Staff lainy ckup ramah.",infinity8 bali,Bali
awaludin,"8,0",22 Apr 2018,recomended hotel,infinity8 bali,Bali
Ervina,"7,2",08 Apr 2018,"Tempat parkiranya sempit, bt deip barang d depan lobby hrs cpt2 krn kadng ada mbil lain yg mengantre, trun ke basement mobilny ckup curam jdi kdng hrs sshbklo ada mbil prkir di tepi pintu kluar, staff resepsionisny krng ksh info, staff lainy ckup ramah,bersih, lokasi lmyan strategis",infinity8 bali,Bali
Rudy,"7,6",28 Mar 2018,Lokasi mudah dicapai. Dekat kemana2 di daerah nusa dua.,infinity8 bali,Bali
Taufiq,"6,4",14 Mar 2018,"1. Dari loby saat mau cek in , staffnya sibuk tlp , sedang sy posisi di depannya , mondar mandir tnpa menyuruh kami untuk duduk , dalam waktu lama lagi , 
2. Cek in di jam 3 , lama banget, request kamar dr jauh hari tp tdk sesuai ekspektasi . 
Pelayanan nya buruk banget 🤦🏻‍♂️",infinity8 bali,Bali
Aprilianita,"7,2",13 Mar 2018,"Hotelnya dan kamarnya bersih, staff ramah. Dekat dengan alfamart dan tempat makan di sekitarnya, namun lokasinya agak jauh dari tempat wisata.",infinity8 bali,Bali
titiek,"6,0",14 Jan 2018,Sebenarnya saya suoa menginap disini karena dekat ke pantai .. tapi terakhir saya check out setelah 3x menginap ini saya kena denda harus bayar 60.000 dengan alasan ada bekas noda air liur anak saya hanya bulatan kecil di kasur .. seumur umur saya menginap di hotel baru kali ini kena denda karena noda iler anak saya .. saya jadi malas merekomendasikan hotel ini ke orang lain .. saya juga kerja mengelola penginapan di kota semarang tapi nggak sebegini juga cara ambil uang dari customer .. kesel saya,infinity8 bali,Bali
Vivi,"6,0",28 Dec 2017,"Hotel mengclaim jika setiap kamarnya bebas asap rokok, namun ketika ada tamu yang merokok di dalam kamar, management hotel tidak bisa bertindak apa2. Akhirnya kamar kami bau rokok, apalagi menjelang tengah malam, bau rokok semakin intens.",infinity8 bali,Bali
Indri,"10,0",09 Nov 2017,Bagus bgt lengkap Ada gym dengan kolam renang di atas pokok nya the best lah...,infinity8 bali,Bali
Mudita,"10,0",29 Sep 2017,"Tempat bagus,dan pingin kesana lagi,pokok nya ketagihan kesana",infinity8 bali,Bali
Echa,"9,6",24 Sep 2017,"Bagus semua, pelayanan juga baik,  pas dapet ac kurang dingin, pihak hotel langsng ngeberin, tapi emang gak dingin akhirnya di pindahin kamar. 
Di kasih pilihan beberapa kamar juga.. 
Utuk makanan  banyak pilihan.  Welcome drink nya juga keren, 
Proses chek in cepet, tapi proses chek out agak lama",infinity8 bali,Bali
Ricko,"10,0",06 Sep 2017,Yaman,infinity8 bali,Bali
Kholik,"10,0",05 Sep 2017,Ok,infinity8 bali,Bali
julianti,"9,6",02 Sep 2017,"Hotel yang lumayan kolamnya di rooftop, lumayan bagus , tapi kamarnya rada bau org sebelumnya, karena tidak ada jendelanya, menghadap tembok, ada shuttle bus ke locco beach clubnya tp shuttlenya telat jemput, mohon agar diperhatikan kenyaman tamu.",infinity8 bali,Bali
Mufid,"9,2",14 Aug 2017,Overall Ok,infinity8 bali,Bali
Wahyuni,"8,8",08 Aug 2017,"Wifinya bermasalah, sampai 4x telpon TDK ada staff yg memperbaiki,mohon ditingkatkan pelayanannya Krn include nya WiFi kenapa Tidak bisa tersambung, saat telpon ke frond desk 5x katanya ada yg akan ke kamar tapi sampai kita check out Tidak ada staff yg memperbaiki",infinity8 bali,Bali
Vera,"10,0",31 Jul 2017,Ok,infinity8 bali,Bali
ISMAIL,"8,8",07 Jul 2017,Mantab,infinity8 bali,Bali
rizqon,"9,6",05 Jun 2017,Keren,infinity8 bali,Bali
Herson,"10,0",29 Sep 2017,Mantapppp,infinity8 bali,Bali
Michael,"8,0",24 Sep 2017,Ok,infinity8 bali,Bali
Thesar,"9,6",06 Sep 2017,Oke,infinity8 bali,Bali
Hubby,"8,0",05 Sep 2017,8/10,infinity8 bali,Bali
SILVIA,"10,0",02 Sep 2017,kerenn,infinity8 bali,Bali
Amanda,"10,0",14 Aug 2017,MANTAP,infinity8 bali,Bali
Kadek,"10,0",08 Aug 2017,Goood,infinity8 bali,Bali
Poetra,"10,0",31 Jul 2017,Keren,infinity8 bali,Bali
Rina,"10,0",07 Jul 2017,Bagusss,infinity8 bali,Bali
ITWBLOG,"10,0",05 Jun 2017,Puas,infinity8 bali,Bali
hendry,"9,2",05 Mar 2017,bagus,infinity8 bali,Bali
Elisa,"10,0",26 Feb 2017,Nice,infinity8 bali,Bali
Remington,"8,4",13 Feb 2017,Nice,infinity8 bali,Bali
Wati,"10,0",23 Jan 2017,Sesuai pokok nya sesuai sama yg di gambar hahaha...  Kerenn pokok nya kerennnn,infinity8 bali,Bali
AniTa,"9,6",22 Jan 2017,enak pokoknya,infinity8 bali,Bali
Hidayat,"8,8",14 Jan 2017,"Desain hotel dan fasilitas bagus, menyenangkan menginap di sana",infinity8 bali,Bali
Aris,"8,4",Profil ini privat.,"Ruang acara kegiatan  saya berada di hotel ini, sehingga sangat memudahkan urusan bisnis saya. Panorama rooftop baik, menghadap GWK. Lokasi sangat strategis, dekat dengan bandara, dan lokasi wisata.",infinity8 bali,Bali
surjadi,"8,8",08 Jan 2017,Cocok untuk traveling,infinity8 bali,Bali
irvan,"7,2",08 Jan 2017,Bagus hotel ini dan cukup bersih juga,infinity8 bali,Bali
irvan,"7,6",02 Jan 2017,Kami cukup puas di infinity8,infinity8 bali,Bali
charles,"10,0",05 Mar 2017,Bagus semua,infinity8 bali,Bali
Anwar,"8,8",26 Feb 2017,"Pelayanan sangat ramah. Sayangnya saya terinfo ada shuttle bus ke objek wisata sekitar jimbaran di hari trkhir saya nginap.  Kolam renang atap sungguh mengesankan.  
Mgkn perlu perbaikan. Pas hri prtama nginap kamar agak bau,,  kalo kamar ditinggal bau jg. Mgkn bisa jadi masukan...",infinity8 bali,Bali
Adelia,"7,2",13 Feb 2017,"Kamar mandi sedikit berbau, krna tekstur keramik kamar sedikit kasar maka ada sedikot kotoran yang menempel di lantai walau sudah dibersihkan. Namun secara overall, kamar nya nyaman sekali, tempat tidur besar dan nyaman. Ada dapat guling juga. Sarapan biasa saja",infinity8 bali,Bali
lusiana,"5,2",23 Jan 2017,"Parkirannya susah, terlalu mepet..",infinity8 bali,Bali
Angga,"10,0",22 Jan 2017,"Saya checkin 29-30 Maret 2019 kamar 346,  pelayanannya sangat bagus, staffnya juga ramah. Terutama bapak yang antar saya  untuk move room, awalnya saya dapat kamar 222, setelah saya request untuk kamar high floor, ada bapak (namanya daya lupa tapi saya ingat asalnya dari tabanan) yang antar saya move room ke 346, saya sangat suka pelayanan bapak ini karena dia sangat ramah dan juga baik. Untuk nantinya saya akan datang lagi untuk stay dengan teman"" yang lain.",infinity8 bali,Bali
sondang,"9,2",14 Jan 2017,"klw bisa restorant lantai atas sebaiknya di perbesar letak meja penyajiannya sehingga tdk terhalang sama org jalan dan pengisian masakan responya cepat , penjaga kolam renang dan bar atas sebaiknya di jaga , jangan di tinggal tingal sehingga tamu tdk ke walahan klw minta sesuatu ke pada pagawai hotel",infinity8 bali,Bali
Eka,"6,4",Profil ini privat.,"1 malam di infinity8, bangun tidur pusing karena kamar singup, kurang udara.. selebihnya untuk interior bagus dan fasilitas mewah..",infinity8 bali,Bali
yulia,"10,0",08 Jan 2017,"Kamar besar, saya menginap dengan keluarga. Yang kurang adalah jalan menuju basement yg sempit khusunya untuk mobil besar sehingga mobil saya hampir baret terkena trotoar taman. Mohon jadi perhatian manjemen.. kalau sdh dibongkar saya akan menginap disini lagi.",infinity8 bali,Bali
evi,"10,0",08 Jan 2017,semua pelayanan dan tingkat kenyamanan hotel... oke,infinity8 bali,Bali
debora,"9,6",02 Jan 2017,Kenyamanan kamar Mandi kurang. Tidak Ada gantungan baju & kurang bersihnya handuk,infinity8 bali,Bali
Cindy,"9,6",31 Dec 2016,"Untuk kamar hotel luas dan nyaman, fasilitas nya oke. And untuk masukan nya kasur lebih tebal lagi.",infinity8 bali,Bali
Dewi,"6,4",15 Dec 2016,Hotel ini berada di bypass Ngurah Ray.Jadi aksesnya lbh mudah.Nyaman utk persinggahan.Ketika masuk hotel tidak ada bell boy yg membantu membawakan barang.Namun kami disambut dengan bau wewangian yang bikin relax.Tapi ketika masuk kamar bantalnya bau tengik krn mgkn belum diganti dan dicuci bantal dan spreinya.Lalu di toiletnya ketika dibuka terdapat noda kuning yg kering seperti bekas air kencing yg blum dibersihkan.,infinity8 bali,Bali
Idham,"9,6",30 Nov 2016,Rasa2nya tidak ada yg kurang...nyaman sekali hotel nya,infinity8 bali,Bali
sri,"8,4",17 Oct 2016,"Saat sarapan.kehabisan menu makan utama,sendok tidak ada.",infinity8 bali,Bali
JOHAN,"7,6",08 Jul 2016,"Pengalaman pertama menginap di Kila ini cukup menyenangkan, disambut staff yang cukup ramah dan fasilitas yang oke & menunjang. Mungkin untuk ke depannya harus sering mengadakan promo yang menarik, dan harga untuk makanan bisa sedikit diturunkan karena cukup tinggi.

Untuk sisanya semua oke & mantap!",infinity8 bali,Bali
Chandra,"6,8",29 Jan 2023,Kebersihan ok ‘ sayang sirkulasi udara kamar ga ada jadi terasa lembab bgt masuk kamar’ lokasi ok’ brafes nya-,infinity8 bali,Bali
artha,"10,0",03 Nov 2022,"pelayanan memuaskan, makanan enak, kamar bersih. terima kasih Kila",infinity8 bali,Bali
Sari,"5,2",11 Aug 2022,"Lokasinya bagus di jalan besar, kamar suitenya juga ok sangat luas dan ada byk ranjang.hanya toilet aja kurang besar showernya..major problem di hotel ini hanya soal kebersihannya..lantai lengket, ranjang kotor byk debu2 kasar seperti kamar sudah lama tdk dihuni..kemudian ranjangnya juga tdk ada spring jd jebol ke dalam gt..tempat sabun shampo jg susah digunakan sudah agak rusak..sarapan bintang 2 menu dikit tapi masih mau tagih biaya kids breakfast padahal tdk byk yg bs dimakan anak sy, harga breakfast memang tdk mahal cuma baiknya kalau dgn menu begitu ya tdk usah ditagih..yang pasti ini bukan hotel bintang 4 menurut sy.cocoknya bintang 3",infinity8 bali,Bali
Yelly,"9,6",31 Jul 2022,"Tempat tidur nyaman buat keluarga, kolam renang recommended karena rooftop bagus sekali, makanan banyak variasi, cuman waktu menginap disana listriknya seringkali mati tapi cepat kembali hidupnya, semuanya sudah bagus dan oke, dan tempatnya strategis pinggir jalan raya.",infinity8 bali,Bali
MIRAH,"7,6",12 Jul 2022,"Pada saat check in terlalu banyak staff yg mengobrol asik di pintu counter Front Desk seakan tidak mengetahui bahwa ada tamu yg sedang check in . Breakfast menu sangat menarik dan enak . Kamar pun sangat bagus bersih dan nyaman  tetapi view kamar dan pool tidak menarik karena banyak rumah warga dan pohon . 
waktu musim hujan saya menginap disana pada saat saya dan suami saya berenang tidak ada yang memasang wet cauiton floor sehingga suami saya terjatuh di tangga pool dan terluka karena licin . dari pihak manager ato staff yg berjaga pun tidak ada kata permintaan Maaf atau menanyakan keadaan suami saya . setidak nya MOD datang dan menanyakan kondisi suami saya . walaupun pada saat itu sudah ada staff yg memberikan obat .",infinity8 bali,Bali
Budi,"7,2",31 Dec 2016,"Breakfast krg, staff salah satu penjaga breakfast krg berkenan di hati, poll nya kotor byk kotoran, parkirannya krg luas .... selebihnya semuanya ok",infinity8 bali,Bali
phie,"8,0",15 Dec 2016,Semuanya ok,infinity8 bali,Bali
adi,"6,0",30 Nov 2016,"tempat lumayan. poolnya bagus. sempat kecewa dapat room yg tidak sesuai pesanan, request kingsize bed tapi diberi twin dengan alasan full padahal udah booking sebelumnya. kebersihan lumayan hanya sedikit ramai suara jalan raya yang sangat terdengar dari dalam kamar. makanan lumayan dan staf cukup ramah. terima kasih",infinity8 bali,Bali
Dessy,"9,2",17 Oct 2016,Saya complain terhadap food & baverage di hotel tetapi dilayani baik oleh Pak Andre .. saya suka konsep rooftop & swimming pool nya ..,infinity8 bali,Bali
Novida,"9,6",08 Jul 2016,"hotelnya bagus, tempat strategis, bersih, staffnya ramah2 dan sangat membantu. Harga dan kualitasnya sesuai, sangat recomended menurut saya.",infinity8 bali,Bali
Amanda,"8,8",29 Jan 2023,"Hotel baru dengan rooftop yang keren, staff ramah dan kooperatif. Sayang untuk ukuran hotel baru perawatannya agak kurang, card untuk masuk kamar tidak berfungsi, shower, tempat sabun di bathroom sudah mulai berkarat. Suasana dari lobby sampai kamar remang-remang. mungkin pencahayaannya perlu diperhatikan lagi. Tapi anak-anak senang sekali dengan infinity pool-nya.",infinity8 bali,Bali
john,"8,8",03 Nov 2022,"Menginap dengan keluarga disini, fasilitas hotel mantab jaya. 
Ada kafe, gym dan infinity pool di Roof Top-nya. 
Tempatnya ok, bersih, nyaman, keren deh pokoknya apalagi pool-nya. 
Kekurangannya paling cuman agak jauh dari mana"" gak kaya lokasi di Kuta ato Legian yg sdh rame. 
Cuman kalo maen ke tempat wisata di Bali/Kuta selatan : spt GWK, Pura Uluwatu, Dreamland Beach, deket banget.",infinity8 bali,Bali
vivin,"9,6",11 Aug 2022,"anak2 senang nginap disini. bersih, staff ramah dan sgt membantu. recommended mnrt saya",infinity8 bali,Bali
HENDRA,"4,4",31 Jul 2022,"Kolam renang bagus, kebersihan juga oke tetapi security nya kurang ramah dan tidak sopan. Sempat terjadi keributan dengan security ketika saya sedang menurunkan penumpang dan security meminta saya untuk maju. Sampai anak saya terjatuh... stlh ditegur security nya malah bernada menantang.",infinity8 bali,Bali
Glein,"6,8",12 Jul 2022,"Hotel baru, dengan fasilitas yang masih minim. Kamar nya besar dan nyaman. Dan hotel yang cukup banyak colokan. Sangat memuaskan.",infinity8 bali,Bali
erica,"8,4",04 Jul 2022,"saya dan teman2 menginap di hotel ini untuk kepentingan pernikahan teman di dekat uluwatu / jimbaran. cukup dekat menuju jimbaran, tapi lokasi lainnya cukup jauh. 

ada Jco / supermarket sekitar 10 menit berjalan kaki dari hotel. 

Pool bagus, karena bukan waktu liburan, saya dan teman2 menguasai kolam renang (karena hotel sepi). hanya lokasi yang kurang ok untuk liburan di Bali.",infinity8 bali,Bali
Katarina,"9,2",11 Jun 2022,"Interior hotel bagus..Staff ramah..Kamar overall good,tpi bed kurang empuk..Nice rooftop pool,tempat breakfast nyaman dan menu breakfast enak dan beragam pilihan...Puas dan happy menginap disini..I'will be back here...😚☺😍",infinity8 bali,Bali
